ncomp label gene_loading_ranked gene_name age_effect p_for_age sex_effect p_for_sex race_effect p_for_race
1 pos_end 0.0178289987588396 MT-ND4 -0.0308865364823774 0.351712077580345 -0.167471559374012 5.95484131577435e-07 -0.0398810013776687 0.229341610689674
1 pos_end 0.0175887443773376 MT-CO1 0.0338426077150421 0.485157030551026 -0.131817685213536 0.00666880349182535 -0.158723846351805 0.00112920706371662
1 pos_end 0.0172461264656964 MT-CO3 0.00515522480597234 0.894058753709236 -0.120996186440605 0.00184471902495874 -0.0672858198306487 0.0826848808976422
1 pos_end 0.0171078125278467 MT-CYB -0.00401029045673454 0.903580315206274 -0.142467051609935 1.96868157790584e-05 -0.157451859752519 2.59448033115372e-06
1 pos_end 0.0171019335755214 MT-ATP6 -0.0779790940923612 0.0673060215822679 -0.138097454600556 0.00122609456210904 -0.283945160597962 6.84195373956558e-11
1 pos_end 0.0170980156546028 MT-RNR2 0.0210460353176595 0.554529262688995 -0.0258078255799933 0.468024792512274 -0.0384821441612805 0.280099293373173
1 pos_end 0.0168074736898116 MT-ND2 -0.0678453431786489 0.0794399670717052 -0.190870329008352 1.02235804555652e-06 -0.170475750403098 1.24439762548234e-05
1 pos_end 0.0167325240664152 MT-ND1 -0.0122233853992506 0.75518690261165 -0.191865843600093 1.29113874878709e-06 -0.212659902874831 9.13630772232136e-08
1 pos_end 0.0167268274512896 MT-CO2 -0.0734770526918119 0.0868283544460249 -0.157647951821567 0.000253202884473807 -0.128036654743642 0.00293543467434081
1 pos_end 0.0157767584707973 MT-ND5 0.0558719219002858 0.179982436240894 0.00592901203267201 0.886584941829183 0.0438543964671993 0.292451944002418
1 pos_end 0.0157177425508002 DES -0.0330824239019861 0.159177767432356 -0.130181371866526 4.59415517932709e-08 0.14234699052186 2.67218015552864e-09
1 pos_end 0.0154993544244557 MYH7 -0.0319785435854515 0.703342842363146 0.110128035926392 0.189428030350761 0.34828886960269 3.94481301074645e-05
1 pos_end 0.0153651112739621 MB -0.109677331464415 0.0277136356103635 -0.0482122955341071 0.331505235739668 0.0888351026319147 0.074342832280504
1 pos_end 0.0153600104187869 TTN -0.0687580005368369 0.0215620222948046 -0.0521310854719884 0.0806515202068455 -0.0350239249619015 0.240823332948202
1 pos_end 0.0152030175211989 MT-ND3 -0.035257922387958 0.332501555355865 -0.179331880352812 1.07853072495434e-06 -0.160760171583944 1.20918355016772e-05
1 pos_end 0.0150562815655633 CKM -0.0673633237905559 0.0827454196867257 -0.173218583148323 9.48252223486319e-06 0.0646693403616556 0.0957664479843272
1 pos_end 0.0149236721154529 MT-ND4L -0.0205660573072831 0.546959101787817 -0.161689906181047 2.75528230086638e-06 -0.10855026100118 0.00156250885709231
1 pos_end 0.0148524048993836 MT-ATP8 -0.0235709044276007 0.507570092706223 -0.169376818472044 2.43291407955524e-06 -0.119906314123135 0.000803887773715674
1 pos_end 0.0148139926064643 MTATP6P1 0.0388457249222769 0.403269489323343 -0.149683146275991 0.00133239043283867 0.215495550752463 4.50573659082345e-06
1 pos_end 0.0146721515871851 MT-RNR1 0.0294892736480327 0.455547983103008 -0.0689125604552745 0.0811538756894462 -0.0182758416285388 0.643709178403369
1 pos_end 0.0146087820886557 TPM1 -0.0897206160689604 0.0868464759418808 -0.191204109009918 0.000278501257138156 0.289814917142275 4.96763147430312e-08
1 pos_end 0.014313115608189 ALDOA -0.0828155684038342 0.00918182116709555 -0.14496488593436 5.7961125832418e-06 0.156777082832379 1.02352522015182e-06
1 pos_end 0.0141947653029732 MT-ND6 0.084665578381057 0.106156358603864 0.0368446775525857 0.480844791691513 0.129585479083627 0.0135760494382105
